Date,N1,N2,N3,N4,N5,MEGA_BALL
6-Jul-2012,20,23,28,35,39,21
10-Jul-2012,3,11,19,23,36,21
13-Jul-2012,6,7,13,24,46,34
17-Jul-2012,1,13,21,49,55,17
20-Jul-2012,2,44,48,50,52,3
24-Jul-2012,5,9,38,46,51,5
27-Jul-2012,2,3,4,8,43,26
31-Jul-2012,5,18,21,29,41,37
3-Aug-2012,2,10,13,38,46,2
7-Aug-2012,30,32,33,42,48,7
10-Aug-2012,10,18,36,38,44,8
14-Aug-2012,15,23,34,39,55,32
17-Aug-2012,8,20,24,35,56,24
21-Aug-2012,5,13,20,23,33,30
24-Aug-2012,25,34,45,46,49,34
28-Aug-2012,4,9,40,45,50,39
31-Aug-2012,31,40,41,47,48,45
4-Sep-2012,16,32,39,41,53,16
7-Sep-2012,15,32,38,42,46,31
11-Sep-2012,5,11,20,33,36,11
14-Sep-2012,16,17,21,40,51,20
18-Sep-2012,5,9,22,36,49,36
21-Sep-2012,3,13,14,46,55,34
25-Sep-2012,7,8,23,50,51,26
28-Sep-2012,6,8,14,43,56,28
2-Oct-2012,10,11,20,42,55,9
5-Oct-2012,8,9,16,32,39,15
9-Oct-2012,6,15,16,22,37,3
12-Oct-2012,6,10,24,26,42,15
16-Oct-2012,13,37,40,46,52,29
19-Oct-2012,14,34,36,48,53,42
23-Oct-2012,1,17,42,46,55,1
26-Oct-2012,4,15,24,36,40,44
30-Oct-2012,5,12,18,29,56,38
2-Nov-2012,4,18,22,38,44,24
6-Nov-2012,3,5,13,32,35,6
9-Nov-2012,18,22,33,35,40,11
13-Nov-2012,6,12,31,46,56,34
16-Nov-2012,5,24,26,29,53,36
20-Nov-2012,9,13,22,38,52,44
23-Nov-2012,8,37,44,47,48,27
27-Nov-2012,5,12,26,42,49,24
30-Nov-2012,11,22,24,28,31,46
4-Dec-2012,3,19,24,32,43,44
7-Dec-2012,7,43,44,51,56,4
11-Dec-2012,39,44,51,52,54,13
14-Dec-2012,11,28,33,41,43,41
18-Dec-2012,1,6,7,18,29,16
21-Dec-2012,3,18,32,41,56,19
25-Dec-2012,2,3,18,34,48,36
28-Dec-2012,10,13,32,40,41,32
1-Jan-2013,4,11,21,25,44,29
4-Jan-2013,1,2,23,25,55,39
8-Jan-2013,3,20,21,38,42,19
11-Jan-2013,24,29,30,34,56,1
15-Jan-2013,1,6,12,19,41,14
18-Jan-2013,8,18,25,42,49,14
22-Jan-2013,7,11,16,39,54,13
25-Jan-2013,11,12,17,31,48,1
29-Jan-2013,8,12,27,46,47,6
1-Feb-2013,1,30,32,40,41,17
5-Feb-2013,2,5,10,26,44,46
8-Feb-2013,6,15,20,39,50,5
12-Feb-2013,9,22,32,38,55,44
15-Feb-2013,11,35,41,42,44,42
19-Feb-2013,1,15,19,30,56,28
22-Feb-2013,9,13,24,38,49,30
26-Feb-2013,6,7,13,15,43,7
1-Mar-2013,17,30,38,43,51,20
5-Mar-2013,6,20,39,41,46,42
8-Mar-2013,4,11,25,34,35,44
12-Mar-2013,9,12,19,20,30,39
15-Mar-2013,4,8,17,22,32,8
19-Mar-2013,3,6,14,21,37,35
22-Mar-2013,14,27,34,37,41,38
26-Mar-2013,20,33,46,49,51,46
29-Mar-2013,25,31,36,46,53,21
2-Apr-2013,7,10,14,40,47,34
5-Apr-2013,8,15,23,36,41,5
9-Apr-2013,17,30,41,48,54,13
12-Apr-2013,1,10,13,19,21,28
16-Apr-2013,2,5,15,18,39,42
19-Apr-2013,6,8,12,22,43,28
23-Apr-2013,9,21,22,32,50,10
26-Apr-2013,17,42,49,54,55,31
30-Apr-2013,21,30,34,39,49,43
3-May-2013,2,20,34,42,54,39
7-May-2013,1,6,13,20,51,31
10-May-2013,1,19,20,39,49,28
14-May-2013,6,10,12,28,32,38
17-May-2013,11,15,35,43,49,41
21-May-2013,2,15,17,48,55,11
24-May-2013,4,5,16,18,53,28
28-May-2013,4,12,25,32,54,36
31-May-2013,2,20,26,44,46,26
4-Jun-2013,10,11,12,20,55,19
7-Jun-2013,1,10,37,48,55,21
11-Jun-2013,15,40,45,50,53,28
14-Jun-2013,2,5,31,33,34,20
18-Jun-2013,6,17,34,40,48,30
21-Jun-2013,3,14,17,40,50,3
25-Jun-2013,3,5,28,33,51,16
28-Jun-2013,8,15,35,46,52,38
2-Jul-2013,36,42,51,52,53,40
5-Jul-2013,2,23,41,47,54,42
9-Jul-2013,3,21,43,45,48,14
12-Jul-2013,4,5,25,27,51,10
16-Jul-2013,10,14,21,40,53,20
19-Jul-2013,16,20,24,39,42,46
23-Jul-2013,25,32,35,50,51,46
26-Jul-2013,4,22,23,27,38,42
30-Jul-2013,25,27,36,42,44,39
2-Aug-2013,8,21,23,25,39,4
6-Aug-2013,1,11,16,51,55,41
9-Aug-2013,11,20,30,34,38,12
13-Aug-2013,2,31,32,37,41,40
16-Aug-2013,7,13,26,36,46,37
20-Aug-2013,13,28,35,38,41,33
23-Aug-2013,1,9,17,20,53,14
27-Aug-2013,4,7,30,36,38,38
30-Aug-2013,6,19,24,43,44,33
3-Sep-2013,4,13,14,28,41,28
6-Sep-2013,2,16,17,22,41,31
10-Sep-2013,2,12,18,54,56,1
13-Sep-2013,9,22,28,48,54,8
17-Sep-2013,6,15,27,31,39,25
20-Sep-2013,1,15,20,21,47,34
24-Sep-2013,4,11,32,39,40,33
27-Sep-2013,9,23,27,49,51,38
1-Oct-2013,7,10,30,37,53,1
4-Oct-2013,4,16,24,25,44,5
8-Oct-2013,6,15,19,23,40,5
11-Oct-2013,3,27,37,45,48,46
15-Oct-2013,4,23,30,43,50,11
18-Oct-2013,5,20,45,48,56,1
22-Oct-2013,2,3,19,52,71,14
25-Oct-2013,6,16,45,54,60,15
29-Oct-2013,20,33,50,53,54,7
1-Nov-2013,32,35,49,62,67,1
5-Nov-2013,2,11,42,64,74,2
8-Nov-2013,41,42,51,57,65,7
12-Nov-2013,20,30,32,42,71,15
15-Nov-2013,25,44,49,54,63,8
19-Nov-2013,14,15,29,49,63,2
22-Nov-2013,17,23,35,36,44,8
26-Nov-2013,27,44,59,74,75,3
29-Nov-2013,9,41,43,47,57,5
3-Dec-2013,7,12,41,44,59,3
6-Dec-2013,11,29,44,63,64,3
10-Dec-2013,5,12,22,41,65,13
13-Dec-2013,19,24,26,27,70,12
17-Dec-2013,8,14,17,20,39,7
20-Dec-2013,3,4,31,49,57,6
24-Dec-2013,23,34,53,58,73,2
27-Dec-2013,4,15,35,48,49,11
31-Dec-2013,8,12,34,52,58,8
3-Jan-2014,22,24,25,40,70,5
7-Jan-2014,13,34,56,62,64,6
10-Jan-2014,8,28,36,37,57,8
14-Jan-2014,4,23,26,62,69,13
17-Jan-2014,1,10,26,31,51,11
21-Jan-2014,8,23,33,45,52,4
24-Jan-2014,22,45,46,47,65,10
28-Jan-2014,7,16,28,53,60,2
31-Jan-2014,3,9,13,47,52,8
4-Feb-2014,25,44,49,60,73,9
7-Feb-2014,11,21,23,35,64,10
11-Feb-2014,43,64,67,71,73,4
14-Feb-2014,20,28,35,71,72,7
18-Feb-2014,23,29,31,37,70,14
21-Feb-2014,23,29,32,45,46,15
25-Feb-2014,12,18,25,35,66,15
28-Feb-2014,3,31,50,58,59,6
4-Mar-2014,10,29,31,35,45,10
7-Mar-2014,11,13,51,57,69,1
11-Mar-2014,9,14,56,57,69,10
14-Mar-2014,7,20,40,54,69,12
18-Mar-2014,11,19,24,33,51,7
21-Mar-2014,2,23,30,35,53,10
25-Mar-2014,19,26,51,57,73,15
28-Mar-2014,2,3,9,50,73,12
1-Apr-2014,10,23,68,74,75,9
4-Apr-2014,1,10,15,41,54,9
8-Apr-2014,35,36,41,60,71,3
11-Apr-2014,3,42,44,47,57,8
15-Apr-2014,4,39,46,47,70,13
18-Apr-2014,18,25,38,45,63,9
22-Apr-2014,2,18,19,49,50,1
25-Apr-2014,3,11,18,20,66,9
29-Apr-2014,7,43,59,61,66,3
2-May-2014,1,18,26,35,40,13
6-May-2014,18,20,27,48,51,5
9-May-2014,10,28,39,51,59,14
13-May-2014,37,46,48,70,74,1
16-May-2014,13,14,16,50,56,11
20-May-2014,10,40,63,64,69,7
23-May-2014,12,14,21,38,70,15
27-May-2014,1,6,10,46,58,13
30-May-2014,10,13,42,43,62,2
3-Jun-2014,19,28,62,66,74,6
6-Jun-2014,12,29,37,49,72,9
10-Jun-2014,2,10,24,26,74,7
13-Jun-2014,7,38,46,49,56,1
17-Jun-2014,10,14,24,47,60,3
20-Jun-2014,1,22,25,29,56,3
24-Jun-2014,13,17,24,47,65,10
27-Jun-2014,15,29,31,46,64,10
1-Jul-2014,9,22,38,47,49,15
4-Jul-2014,16,33,39,58,69,2
8-Jul-2014,14,25,27,48,49,9
11-Jul-2014,9,13,30,35,69,10
15-Jul-2014,2,4,17,36,40,5
18-Jul-2014,5,8,59,65,72,3
22-Jul-2014,14,18,22,31,47,15
25-Jul-2014,22,29,33,41,68,12
29-Jul-2014,2,8,16,43,74,1
1-Aug-2014,13,29,34,37,72,6
5-Aug-2014,25,28,36,45,53,6
8-Aug-2014,9,16,61,70,75,7
12-Aug-2014,32,53,60,63,68,6
15-Aug-2014,16,19,28,29,68,9
19-Aug-2014,22,39,56,67,71,15
22-Aug-2014,5,31,34,41,74,3
26-Aug-2014,29,31,51,60,64,1
29-Aug-2014,3,26,45,58,73,12
2-Sep-2014,1,8,54,69,72,1
5-Sep-2014,7,12,20,24,59,7
9-Sep-2014,25,34,55,70,71,1
12-Sep-2014,18,28,33,36,42,7
16-Sep-2014,25,45,51,53,73,2
19-Sep-2014,16,25,27,29,34,2
23-Sep-2014,21,24,25,40,43,12
26-Sep-2014,17,26,35,46,62,9
30-Sep-2014,3,16,52,54,61,6
3-Oct-2014,3,20,34,58,67,6
7-Oct-2014,16,29,46,48,55,2
10-Oct-2014,2,32,35,50,59,3
14-Oct-2014,11,37,46,64,68,15
17-Oct-2014,21,31,43,56,60,12
21-Oct-2014,5,35,37,41,66,11
24-Oct-2014,2,14,21,28,55,3
28-Oct-2014,3,50,57,58,60,11
31-Oct-2014,11,29,36,58,67,15
4-Nov-2014,9,15,24,39,41,1
7-Nov-2014,31,35,41,65,66,5
11-Nov-2014,23,25,28,30,75,11
14-Nov-2014,3,49,61,62,68,15
18-Nov-2014,37,39,53,68,75,6
21-Nov-2014,3,12,35,37,63,15
25-Nov-2014,10,11,29,47,56,4
28-Nov-2014,8,26,29,36,47,10
2-Dec-2014,13,18,22,49,62,11
5-Dec-2014,4,5,11,51,59,5
9-Dec-2014,27,45,49,51,52,14
12-Dec-2014,2,31,46,58,65,7
16-Dec-2014,41,58,68,72,73,1
19-Dec-2014,14,18,58,59,68,4
23-Dec-2014,4,10,31,56,66,7
26-Dec-2014,2,5,10,20,38,14
30-Dec-2014,3,7,44,63,67,12
2-Jan-2015,13,15,35,62,74,12
6-Jan-2015,12,20,27,38,75,4
9-Jan-2015,37,49,50,56,57,8
13-Jan-2015,12,20,25,50,51,7
16-Jan-2015,26,32,44,45,58,11
20-Jan-2015,31,35,56,59,63,6
23-Jan-2015,14,15,32,68,72,8
27-Jan-2015,5,26,27,44,57,7
30-Jan-2015,18,31,39,45,55,6
3-Feb-2015,11,22,25,58,69,13
6-Feb-2015,5,6,17,33,68,13
10-Feb-2015,7,42,53,58,71,15
13-Feb-2015,4,20,44,65,74,14
17-Feb-2015,6,45,50,65,66,1
20-Feb-2015,2,6,8,52,66,13
24-Feb-2015,15,23,26,45,66,4
27-Feb-2015,7,49,53,60,64,4
3-Mar-2015,9,11,42,44,50,3
6-Mar-2015,30,48,55,68,73,5
10-Mar-2015,10,14,19,30,73,14
13-Mar-2015,8,22,30,42,45,3
17-Mar-2015,11,27,44,45,58,3
20-Mar-2015,7,50,54,61,75,7
24-Mar-2015,2,23,32,45,55,12
27-Mar-2015,17,21,36,58,70,3
31-Mar-2015,8,26,41,61,73,11
3-Apr-2015,10,36,47,63,74,2
7-Apr-2015,5,15,22,26,64,6
10-Apr-2015,6,11,32,46,68,9
14-Apr-2015,3,7,25,68,71,3
17-Apr-2015,15,18,29,41,50,5
21-Apr-2015,31,33,35,41,69,11
24-Apr-2015,24,25,29,47,67,4
28-Apr-2015,22,27,55,58,63,11
1-May-2015,17,18,61,66,74,3
5-May-2015,11,21,42,62,71,7
8-May-2015,9,21,25,66,72,7
12-May-2015,14,30,33,36,44,2
15-May-2015,11,17,21,36,74,15
19-May-2015,10,12,21,29,65,10
22-May-2015,3,14,15,25,48,8
26-May-2015,1,39,52,69,72,12
29-May-2015,20,27,38,49,66,2
2-Jun-2015,2,9,11,22,23,12
5-Jun-2015,7,22,27,41,49,10
9-Jun-2015,6,16,17,25,36,7
12-Jun-2015,1,40,42,56,62,2
16-Jun-2015,8,19,26,56,67,14
19-Jun-2015,4,35,36,52,68,8
23-Jun-2015,6,13,38,56,70,2
26-Jun-2015,12,23,33,47,50,3
30-Jun-2015,11,17,34,43,50,15
3-Jul-2015,33,50,64,71,72,9
7-Jul-2015,6,15,16,28,49,14
10-Jul-2015,24,27,45,51,54,8
14-Jul-2015,19,24,30,35,72,5
17-Jul-2015,6,17,30,31,41,15
21-Jul-2015,20,30,62,65,74,1
24-Jul-2015,10,12,26,60,62,13
28-Jul-2015,8,35,61,68,75,15
31-Jul-2015,28,32,33,40,46,10
4-Aug-2015,2,19,44,51,57,14
7-Aug-2015,1,38,53,63,66,10
11-Aug-2015,3,8,29,57,68,8
14-Aug-2015,12,15,20,52,71,3
18-Aug-2015,2,7,33,39,53,9
21-Aug-2015,13,15,21,41,72,1
25-Aug-2015,5,44,54,59,63,1
28-Aug-2015,13,35,40,60,68,9
1-Sep-2015,2,5,35,40,54,13
4-Sep-2015,17,21,39,52,57,5
8-Sep-2015,19,20,36,41,46,7
11-Sep-2015,5,11,31,50,67,14
15-Sep-2015,7,20,35,49,56,9
18-Sep-2015,17,34,35,51,65,7
22-Sep-2015,28,30,38,45,51,8
25-Sep-2015,3,8,38,51,64,4
29-Sep-2015,8,21,30,61,62,9
2-Oct-2015,4,14,29,31,47,9
6-Oct-2015,17,58,63,64,66,13
9-Oct-2015,8,9,21,63,75,14
13-Oct-2015,7,9,24,38,52,1
16-Oct-2015,2,38,48,61,68,4
20-Oct-2015,6,25,35,38,52,4
23-Oct-2015,25,32,37,45,70,1
27-Oct-2015,9,26,27,29,74,4
30-Oct-2015,17,41,51,53,56,15
3-Nov-2015,16,29,44,69,74,12
6-Nov-2015,10,31,35,50,72,8
10-Nov-2015,8,17,20,45,71,4
13-Nov-2015,17,18,31,35,59,9
17-Nov-2015,12,14,18,24,61,10
20-Nov-2015,9,12,29,37,67,15
24-Nov-2015,2,19,30,38,70,8
27-Nov-2015,16,20,39,56,59,12
1-Dec-2015,5,7,25,50,59,12
4-Dec-2015,26,42,47,61,73,6
8-Dec-2015,7,17,37,49,73,15
11-Dec-2015,14,20,43,54,69,5
15-Dec-2015,18,25,47,51,61,5
18-Dec-2015,6,23,24,28,62,7
22-Dec-2015,11,21,40,50,70,15
25-Dec-2015,15,25,29,44,51,4
29-Dec-2015,20,25,55,62,74,7
1-Jan-2016,7,18,37,38,39,9
5-Jan-2016,1,4,36,48,57,13
8-Jan-2016,11,39,51,57,75,2
12-Jan-2016,15,27,29,31,48,15
15-Jan-2016,29,41,53,54,70,12
19-Jan-2016,2,17,31,39,47,9
22-Jan-2016,21,25,40,46,56,3
26-Jan-2016,14,27,39,50,69,2
29-Jan-2016,20,28,49,51,52,6
2-Feb-2016,7,13,25,51,70,9
5-Feb-2016,4,6,23,55,75,2
9-Feb-2016,3,42,46,56,71,13
12-Feb-2016,1,7,44,68,73,1
16-Feb-2016,9,31,33,46,64,4
19-Feb-2016,2,27,41,50,75,4
23-Feb-2016,16,32,39,53,57,10
26-Feb-2016,3,15,19,62,74,14
1-Mar-2016,1,29,33,34,55,6
4-Mar-2016,21,26,33,48,73,14
8-Mar-2016,27,37,54,66,69,5
11-Mar-2016,14,18,48,54,71,13
15-Mar-2016,18,26,30,44,68,7
18-Mar-2016,5,8,57,59,73,13
22-Mar-2016,6,19,34,38,70,5
25-Mar-2016,4,11,12,35,46,12
29-Mar-2016,33,38,40,46,49,15
1-Apr-2016,25,28,33,41,69,6
5-Apr-2016,13,45,52,53,57,10
8-Apr-2016,31,38,52,65,71,15
12-Apr-2016,7,11,59,62,63,3
15-Apr-2016,9,10,34,37,73,9
19-Apr-2016,9,28,40,57,65,2
22-Apr-2016,2,19,21,42,60,13
26-Apr-2016,14,16,17,28,48,2
29-Apr-2016,5,6,37,55,74,10
3-May-2016,28,29,33,36,45,15
6-May-2016,14,26,27,32,36,7
10-May-2016,12,22,46,56,74,4
13-May-2016,20,21,38,54,66,7
17-May-2016,17,24,27,48,75,6
20-May-2016,19,24,26,40,68,8
24-May-2016,11,50,51,70,75,15
27-May-2016,18,41,50,68,70,9
31-May-2016,9,31,34,41,49,8
3-Jun-2016,32,54,65,66,71,10
7-Jun-2016,25,48,51,65,72,4
10-Jun-2016,34,61,66,67,68,7
14-Jun-2016,36,37,38,52,62,6
17-Jun-2016,20,23,30,44,59,9
21-Jun-2016,6,13,21,49,50,10
24-Jun-2016,11,14,54,57,63,11
28-Jun-2016,15,17,20,35,55,7
1-Jul-2016,20,41,42,45,49,14
5-Jul-2016,29,46,53,64,73,10
8-Jul-2016,8,19,20,55,73,5
12-Jul-2016,6,8,22,46,68,4
15-Jul-2016,16,51,52,56,58,4
19-Jul-2016,3,34,54,65,66,4
22-Jul-2016,8,24,25,26,30,7
26-Jul-2016,1,4,31,36,54,9
29-Jul-2016,11,16,19,31,48,4
2-Aug-2016,3,12,36,54,70,12
5-Aug-2016,5,18,28,54,74,6
9-Aug-2016,12,19,20,44,66,1
12-Aug-2016,4,41,44,56,69,10
16-Aug-2016,2,43,52,62,63,6
19-Aug-2016,22,37,45,65,73,13
23-Aug-2016,2,7,46,61,66,1
26-Aug-2016,10,11,31,41,44,14
30-Aug-2016,28,32,41,51,71,11
2-Sep-2016,22,28,41,46,60,3
6-Sep-2016,25,37,58,69,75,8
9-Sep-2016,1,34,43,44,63,11
13-Sep-2016,6,15,17,39,56,15
16-Sep-2016,13,21,28,34,40,15
20-Sep-2016,2,22,34,62,72,2
23-Sep-2016,1,5,8,25,62,14
27-Sep-2016,14,16,26,53,72,4
30-Sep-2016,21,30,47,50,57,9
4-Oct-2016,18,29,30,54,66,1
